"time","kWh.mean_value"
"2026-05-11T15:39:10.000+02:00","12363371"
"2026-05-11T15:39:20.000+02:00","12363388"
"2026-05-11T15:39:30.000+02:00","12363404"
"2026-05-11T15:39:40.000+02:00","12363419"
"2026-05-11T15:39:50.000+02:00","12363434"
"2026-05-11T15:40:00.000+02:00","6182119.016"
"2026-05-11T15:40:10.000+02:00","6182123.018"
"2026-05-11T15:40:20.000+02:00",
"2026-05-11T15:40:30.000+02:00","6182128.5205"
"2026-05-11T15:40:40.000+02:00","6182132.523"
"2026-05-11T15:40:50.000+02:00","6182136.525"
"2026-05-11T15:41:00.000+02:00","6182142.0275"
"2026-05-11T15:41:10.000+02:00","6182146.0295"
"2026-05-11T15:41:20.000+02:00","4187089.021333333"
"2026-05-11T15:41:30.000+02:00","6182155.0345"
"2026-05-11T15:41:40.000+02:00","6182158.537"
"2026-05-11T15:41:50.000+02:00","6182162.539"
"2026-05-11T15:42:00.000+02:00",
"2026-05-11T15:42:10.000+02:00","6182167.542"
"2026-05-11T15:42:20.000+02:00","6182172.0445"
"2026-05-11T15:42:30.000+02:00","6182176.047"
"2026-05-11T15:42:40.000+02:00","6182180.0495"
"2026-05-11T15:42:50.000+02:00","6182185.052"
"2026-05-11T15:43:00.000+02:00","6182188.5545"
"2026-05-11T15:43:10.000+02:00","6182193.0575"
"2026-05-11T15:43:20.000+02:00","6182195.8085"
"2026-05-11T15:43:30.000+02:00","12363612"
"2026-05-11T15:43:40.000+02:00","12363622"
"2026-05-11T15:43:50.000+02:00","12363633"
"2026-05-11T15:44:00.000+02:00","12363644"
"2026-05-11T15:44:10.000+02:00","12363656"
"2026-05-11T15:44:20.000+02:00","12363668"
"2026-05-11T15:44:30.000+02:00","12363682"
"2026-05-11T15:44:40.000+02:00","12363696"
"2026-05-11T15:44:50.000+02:00","12363712"
"2026-05-11T15:45:00.000+02:00","12363728"
"2026-05-11T15:45:10.000+02:00","12363747"
"2026-05-11T15:45:20.000+02:00","12363767"
"2026-05-11T15:45:30.000+02:00","12363788"
"2026-05-11T15:45:40.000+02:00","12363810"
"2026-05-11T15:45:50.000+02:00","12363836"
"2026-05-11T15:46:00.000+02:00","12363866"
"2026-05-11T15:46:10.000+02:00","12363897"
"2026-05-11T15:46:20.000+02:00","12363927"
"2026-05-11T15:46:30.000+02:00","12363954"
"2026-05-11T15:46:40.000+02:00","12363979"
"2026-05-11T15:46:50.000+02:00","12364003"
"2026-05-11T15:47:00.000+02:00","12364030"
"2026-05-11T15:47:10.000+02:00","12364059"
"2026-05-11T15:47:20.000+02:00","12364083"
"2026-05-11T15:47:30.000+02:00","12364108"
"2026-05-11T15:47:40.000+02:00","12364132"
"2026-05-11T15:47:50.000+02:00","12364157"
"2026-05-11T15:48:00.000+02:00","12364183"
"2026-05-11T15:48:10.000+02:00","12364210"
"2026-05-11T15:48:20.000+02:00","12364236"
"2026-05-11T15:48:30.000+02:00","12364264"
"2026-05-11T15:48:40.000+02:00","12364297"
"2026-05-11T15:48:50.000+02:00","12364333"
"2026-05-11T15:49:00.000+02:00","12364371"
"2026-05-11T15:49:10.000+02:00","12364413"
"2026-05-11T15:49:20.000+02:00","12364459"
"2026-05-11T15:49:30.000+02:00","12364512"
"2026-05-11T15:49:40.000+02:00","12364570"
"2026-05-11T15:49:50.000+02:00","12364633"
"2026-05-11T15:50:00.000+02:00","12364700"
"2026-05-11T15:50:10.000+02:00","12364771"
"2026-05-11T15:50:20.000+02:00","12364844"
"2026-05-11T15:50:30.000+02:00","12364921"
"2026-05-11T15:50:40.000+02:00","12365000"
"2026-05-11T15:50:50.000+02:00","12365080"
"2026-05-11T15:51:00.000+02:00","12365158"
"2026-05-11T15:51:10.000+02:00","12365235"
"2026-05-11T15:51:20.000+02:00","6186891.5"
"2026-05-11T15:51:30.000+02:00","12365383"
"2026-05-11T15:51:40.000+02:00","12365447"
"2026-05-11T15:51:50.000+02:00","12365496"
"2026-05-11T15:52:00.000+02:00","12365534"
"2026-05-11T15:52:10.000+02:00","12365571"
"2026-05-11T15:52:20.000+02:00","12365606"
"2026-05-11T15:52:30.000+02:00","12365638"
"2026-05-11T15:52:40.000+02:00","12365667"
"2026-05-11T15:52:50.000+02:00","12365694"
"2026-05-11T15:53:00.000+02:00","12365719"
"2026-05-11T15:53:10.000+02:00","12365744"
"2026-05-11T15:53:20.000+02:00","12365767"
"2026-05-11T15:53:30.000+02:00","12365789"
"2026-05-11T15:53:40.000+02:00","12365809"
"2026-05-11T15:53:50.000+02:00","12365830"
"2026-05-11T15:54:00.000+02:00","12365850"
"2026-05-11T15:54:10.000+02:00","12365869"
"2026-05-11T15:54:20.000+02:00","12365888"
"2026-05-11T15:54:30.000+02:00","12365907"
"2026-05-11T15:54:40.000+02:00","12365926"
"2026-05-11T15:54:50.000+02:00","12365944"
"2026-05-11T15:55:00.000+02:00","12365963"
"2026-05-11T15:55:10.000+02:00","12365980"
"2026-05-11T15:55:20.000+02:00","12365998"
"2026-05-11T15:55:30.000+02:00","12366015"
"2026-05-11T15:55:40.000+02:00","12366032"
"2026-05-11T15:55:50.000+02:00","12366049"
"2026-05-11T15:56:00.000+02:00","12366066"
"2026-05-11T15:56:10.000+02:00","12366083"
"2026-05-11T15:56:20.000+02:00","12366102"
"2026-05-11T15:56:30.000+02:00","12366123"
"2026-05-11T15:56:40.000+02:00","12366147"
"2026-05-11T15:56:50.000+02:00","12366170"
"2026-05-11T15:57:00.000+02:00","12366192"
"2026-05-11T15:57:10.000+02:00","12366214"
"2026-05-11T15:57:20.000+02:00","12366232.5"
"2026-05-11T15:57:30.000+02:00","12366257"
"2026-05-11T15:57:40.000+02:00","12366277"
"2026-05-11T15:57:50.000+02:00","12366299"
"2026-05-11T15:58:00.000+02:00","12366322"
"2026-05-11T15:58:10.000+02:00","12366346"
"2026-05-11T15:58:20.000+02:00","12366367.5"
"2026-05-11T15:58:30.000+02:00","12366394"
"2026-05-11T15:58:40.000+02:00","12366418"
"2026-05-11T15:58:50.000+02:00","12366442"
"2026-05-11T15:59:00.000+02:00","12366467"
"2026-05-11T15:59:10.000+02:00","12366493"
"2026-05-11T15:59:20.000+02:00","12366520"
"2026-05-11T15:59:30.000+02:00","12366548"
"2026-05-11T15:59:40.000+02:00","12366575"
"2026-05-11T15:59:50.000+02:00","12366603"
"2026-05-11T16:00:00.000+02:00","12366632"
"2026-05-11T16:00:10.000+02:00","12366662"
"2026-05-11T16:00:20.000+02:00","12366695"
"2026-05-11T16:00:30.000+02:00","12366727"
"2026-05-11T16:00:40.000+02:00","12366764"
"2026-05-11T16:00:50.000+02:00","12366799"
"2026-05-11T16:01:00.000+02:00","12366833"
"2026-05-11T16:01:10.000+02:00","12366867"
"2026-05-11T16:01:20.000+02:00","12366900"
"2026-05-11T16:01:30.000+02:00","12366931"
"2026-05-11T16:01:40.000+02:00","12366963"
"2026-05-11T16:01:50.000+02:00","12366997"
"2026-05-11T16:02:00.000+02:00","12367030"
"2026-05-11T16:02:10.000+02:00","12367063"
"2026-05-11T16:02:20.000+02:00","12367094"
"2026-05-11T16:02:30.000+02:00","12367123"
"2026-05-11T16:02:40.000+02:00","12367151"
"2026-05-11T16:02:50.000+02:00","12367177"
"2026-05-11T16:03:00.000+02:00","12367201"
"2026-05-11T16:03:10.000+02:00","12367225"
"2026-05-11T16:03:20.000+02:00","12367248"
"2026-05-11T16:03:30.000+02:00","6187871.5"
"2026-05-11T16:03:40.000+02:00","12367292"
"2026-05-11T16:03:50.000+02:00","12367314"
"2026-05-11T16:04:00.000+02:00","12367335"
"2026-05-11T16:04:10.000+02:00","12367355"
"2026-05-11T16:04:20.000+02:00","12367375"
"2026-05-11T16:04:30.000+02:00","12367395"
"2026-05-11T16:04:40.000+02:00","12367413"
"2026-05-11T16:04:50.000+02:00","12367432"
"2026-05-11T16:05:00.000+02:00","12367449"
"2026-05-11T16:05:10.000+02:00","12367467"
"2026-05-11T16:05:20.000+02:00","12367483"
"2026-05-11T16:05:30.000+02:00","12367500"
"2026-05-11T16:05:40.000+02:00","12367516"
"2026-05-11T16:05:50.000+02:00","12367531"
"2026-05-11T16:06:00.000+02:00","12367546"
"2026-05-11T16:06:10.000+02:00","12367561"
"2026-05-11T16:06:20.000+02:00","12367575"
"2026-05-11T16:06:30.000+02:00","12367589"
"2026-05-11T16:06:40.000+02:00","12367603"
"2026-05-11T16:06:50.000+02:00","12367616"
"2026-05-11T16:07:00.000+02:00","12367629"
"2026-05-11T16:07:10.000+02:00","12367642"
"2026-05-11T16:07:20.000+02:00","12367654"
"2026-05-11T16:07:30.000+02:00","12367667"
"2026-05-11T16:07:40.000+02:00","12367679"
"2026-05-11T16:07:50.000+02:00","12367691"
"2026-05-11T16:08:00.000+02:00","12367704"
"2026-05-11T16:08:10.000+02:00","12367716"
"2026-05-11T16:08:20.000+02:00","12367729"
"2026-05-11T16:08:30.000+02:00","12367742"
"2026-05-11T16:08:40.000+02:00","12367754"
"2026-05-11T16:08:50.000+02:00","12367767"
"2026-05-11T16:09:00.000+02:00","12367780"
"2026-05-11T16:09:10.000+02:00","12367793"
"2026-05-11T16:09:20.000+02:00","12367805"
"2026-05-11T16:09:30.000+02:00","12367817"
"2026-05-11T16:09:40.000+02:00","12367829"
"2026-05-11T16:09:50.000+02:00","12367841"
"2026-05-11T16:10:00.000+02:00","12367853"
"2026-05-11T16:10:10.000+02:00","12367865"
"2026-05-11T16:10:20.000+02:00","12367878"
"2026-05-11T16:10:30.000+02:00","12367890"
"2026-05-11T16:10:40.000+02:00","12367904"
"2026-05-11T16:10:50.000+02:00","12367917"
"2026-05-11T16:11:00.000+02:00","12367932"
"2026-05-11T16:11:10.000+02:00","12367947"
"2026-05-11T16:11:20.000+02:00","12367962"
"2026-05-11T16:11:30.000+02:00",
