#group,false,false,true,true,true,true,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,double,dateTime:RFC3339
#default,mean,,,,,,,,,,,
,result,table,_start,_stop,_field,_measurement,domain,entity_id,friendly_name,source,_value,_time
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361178,2026-05-11T13:23:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361198,2026-05-11T13:23:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361217,2026-05-11T13:24:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361236,2026-05-11T13:24:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361256,2026-05-11T13:24:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361275,2026-05-11T13:24:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361294,2026-05-11T13:24:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361314,2026-05-11T13:24:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361334,2026-05-11T13:25:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361353,2026-05-11T13:25:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361373,2026-05-11T13:25:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361393,2026-05-11T13:25:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361413,2026-05-11T13:25:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361433,2026-05-11T13:25:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361453,2026-05-11T13:26:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361474,2026-05-11T13:26:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361495,2026-05-11T13:26:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361516,2026-05-11T13:26:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361537,2026-05-11T13:26:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361559,2026-05-11T13:26:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361581,2026-05-11T13:27:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361603,2026-05-11T13:27:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361626,2026-05-11T13:27:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361645.5,2026-05-11T13:27:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361673,2026-05-11T13:27:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361697,2026-05-11T13:27:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361721,2026-05-11T13:28:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361746,2026-05-11T13:28:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361771,2026-05-11T13:28:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361794,2026-05-11T13:28:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361822,2026-05-11T13:28:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361849,2026-05-11T13:28:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361875,2026-05-11T13:29:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361901,2026-05-11T13:29:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361927,2026-05-11T13:29:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361954,2026-05-11T13:29:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361980,2026-05-11T13:29:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362006,2026-05-11T13:29:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362032,2026-05-11T13:30:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362058,2026-05-11T13:30:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362085,2026-05-11T13:30:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362106,2026-05-11T13:30:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362127,2026-05-11T13:30:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362148,2026-05-11T13:30:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362169,2026-05-11T13:31:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362191,2026-05-11T13:31:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362217,2026-05-11T13:31:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362244,2026-05-11T13:31:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362271,2026-05-11T13:31:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362299,2026-05-11T13:31:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362327,2026-05-11T13:32:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362356,2026-05-11T13:32:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12362386,2026-05-11T13:32:20Z
